Geography,Geographic Area Name,Total
0500000US13147,"Hart County, Georgia",25036
0500000US13149,"Heard County, Georgia",11565
0500000US13151,"Henry County, Georgia",228460
0500000US13153,"Houston County, Georgia",153031
0500000US13155,"Irwin County, Georgia",9234
0500000US13157,"Jackson County, Georgia",69542
0500000US13159,"Jasper County, Georgia",13832
0500000US13161,"Jeff Davis County, Georgia",14991
0500000US13163,"Jefferson County, Georgia",14950
0500000US13165,"Jenkins County, Georgia",8183
0500000US13167,"Johnson County, Georgia",8839
0500000US13169,"Jones County, Georgia",28345
0500000US13171,"Lamar County, Georgia",17254
0500000US13173,"Lanier County, Georgia",10223
0500000US13175,"Laurens County, Georgia",46333
0500000US13177,"Lee County, Georgia",28461
0500000US13179,"Liberty County, Georgia",59793
0500000US13181,"Lincoln County, Georgia",7822
0500000US13183,"Long County, Georgia",18944
0500000US13185,"Lowndes County, Georgia",112028
0500000US13187,"Lumpkin County, Georgia",31528
0500000US13189,"McDuffie County, Georgia",21155
0500000US13191,"McIntosh County, Georgia",14022
0500000US13193,"Macon County, Georgia",10994
0500000US13195,"Madison County, Georgia",29361
0500000US13197,"Marion County, Georgia",8329
0500000US13199,"Meriwether County, Georgia",20923
0500000US13201,"Miller County, Georgia",5554
0500000US13205,"Mitchell County, Georgia",19687
0500000US13207,"Monroe County, Georgia",26262
0500000US13209,"Montgomery County, Georgia",8259
0500000US13211,"Morgan County, Georgia",18563
0500000US13213,"Murray County, Georgia",39202
0500000US13215,"Muscogee County, Georgia",188353
0500000US13217,"Newton County, Georgia",108132
0500000US13219,"Oconee County, Georgia",38908
0500000US13221,"Oglethorpe County, Georgia",14905
0500000US13223,"Paulding County, Georgia",163329
0500000US13225,"Peach County, Georgia",25736
0500000US13227,"Pickens County, Georgia",31738
0500000US13229,"Pierce County, Georgia",19183
0500000US13231,"Pike County, Georgia",18174
0500000US13233,"Polk County, Georgia",41972
0500000US13235,"Pulaski County, Georgia",9609
0500000US13237,"Putnam County, Georgia",21581
0500000US13239,"Quitman County, Georgia",2290
0500000US13241,"Rabun County, Georgia",16535
0500000US13243,"Randolph County, Georgia",6629
0500000US13245,"Richmond County, Georgia",192366
0500000US13247,"Rockdale County, Georgia",89152
